"COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1984-Q1","-95","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1984-Q2","-620","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1984-Q3","-296","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1984-Q4","-428","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1985-Q1","-252","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1985-Q2","-141","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1985-Q3","6","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1985-Q4","-626","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1986-Q1","-714","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1986-Q2","-384","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1986-Q3","-245","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1986-Q4","-122","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1987-Q1","-501","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1987-Q2","57","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1987-Q3","337","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1987-Q4","-699","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1988-Q1","-415","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1988-Q2","94","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1988-Q3","856","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1988-Q4","1061","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1989-Q1","403","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1989-Q2","-68","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1989-Q3","438","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1989-Q4","165","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1990-Q1","-904","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1990-Q2","-591","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1990-Q3","-521","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1990-Q4","-609","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1991-Q1","-215","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1991-Q2","208","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1991-Q3","605","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1991-Q4","-348","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1992-Q1","-160","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1992-Q2","-592","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1992-Q3","-47","Millions"
"Türkiye, Republic of","Net (credits less debits)","Current account balance (credit less debit)","US dollar","Quarterly","1992-Q4","-175","Millions"
