"COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2019-Q1","-50.86061861006859","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2019-Q2","-21.78695820977825","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2019-Q3","-20.76288114516574","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2019-Q4","-81.58855734550222","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2020-Q1","-55.758762","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2020-Q2","-40.605961","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2020-Q3","-35.99667","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2020-Q4","-25.868618","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2022-Q1","-48.6965875","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2022-Q2","-46.7293981","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2022-Q3","-46.26175812500003","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2022-Q4","-45.33510389880768","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2023-Q1","-14.006437","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2023-Q2","-75.809468","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2023-Q3","-47.193546","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2023-Q4","0","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2024-Q1","-12.67839684674293","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2024-Q2","-14.76024697137648","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2024-Q3","-26.81731477990783","Millions"
"Djibouti","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2024-Q4","-13.56398964950681","Millions"
"Suriname","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2005-Q1","3.6","Millions"
"Suriname","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2005-Q2","-24.4","Millions"
"Suriname","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2005-Q3","-4.6","Millions"
"Suriname","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","2005-Q4","-2.6","Millions"
